species,latitude,longitude
Apionsoma misakianum,-18.136017,178.40285
Apionsoma misakianum,-7,12
Apionsoma misakianum,-18.1293,178.425933
Apionsoma misakianum,-19.30847,147.61842
Apionsoma misakianum,-32,115.41667
Apionsoma misakianum,-22.82999992,166.8300018
Apionsoma misakianum,34.3315,135.1535
Apionsoma misakianum,34.265,135.061
Apionsoma misakianum,24.28604,-81.42889
Apionsoma misakianum,-18.13513,178.42325
Apionsoma misakianum,-18.13163,178.4255
Apionsoma misakianum,-32.47315,153.2234167
Apionsoma misakianum,-27.345,153.562
Apionsoma misakianum,34.323,135.116
Apionsoma misakianum,34.315,135.095
Apionsoma misakianum,34.3075,135.0775
Apionsoma misakianum,-35.83217,136.44733
Apionsoma misakianum,34.285,135.068
Apionsoma misakianum,-7,11
Apionsoma misakianum,-29.65541,154.18314
Apionsoma misakianum,-32.60036667,153.0420167
Apionsoma misakianum,-23.44736,151.91197
Apionsoma misakianum,22.6,69.5
Apionsoma misakianum,25.05163,-80.2285
Apionsoma misakianum,16.44373333,-123.15445
Apionsoma misakianum,24.32302,-81.24806
Apionsoma misakianum,-5,8
Apionsoma misakianum,-32.59996667,153.1268167
Apionsoma misakianum,-7,9
Apionsoma misakianum,-23.26282,151.9229
Apionsoma misakianum,21.892,-72.115
Apionsoma misakianum,22.298,39.044
Apionsoma misakianum,21.877,-72.123
Apionsoma misakianum,33.69937,-118.26088
Apionsoma misakianum,27.83,-79.96
Apionsoma misakianum,-30.911388,153.08833
Apionsoma misakianum,-30.94111,153.09944
Apionsoma misakianum,-30.949444,153.07556
Apionsoma misakianum,-34.183613,151.22305
Apionsoma misakianum,-32.210835,152.56833
Eucheilota menoni,10.0473,76.2451
Eucheilota menoni,10,93
Eucheilota menoni,-33.496688,151.256436
Eucheilota menoni,-36.688967,174.754685
Eucheilota menoni,-33.49635,151.256432
Eucheilota menoni,43.3883,-1.7906
Eucheilota menoni,-36.81,174.8
Ostreopsis ovata,-26.7666,-48.65
Ostreopsis ovata,14.4385252,-61.0262833
Ostreopsis ovata,-22.9666,-42.0166
Ostreopsis ovata,16.2924309,-61.5689316
Ostreopsis ovata,-20.4936,-29.3419
Ostreopsis ovata,14.8627005,-61.2064514
Ostreopsis ovata,-23.8,-45.4166
Ostreopsis ovata,41.55,2.483333
Ostreopsis ovata,34,10.5
Ostreopsis ovata,44.385278,9.0075
Ostreopsis ovata,43.0789986,5.9546676
Ostreopsis ovata,14.5797176,-61.041214
Ostreopsis ovata,16.370718,-61.7774162
Ostreopsis ovata,-0.6221,-90.1414
Ostreopsis ovata,44.004444,10.102778
Ostreopsis ovata,-34.92,173.39
Ostreopsis ovata,-18.136017,178.40285
Ostreopsis ovata,14.6811609,-60.8488007
Ostreopsis ovata,14.6569729,-61.1571655
Ostreopsis ovata,-18.1293,178.425933
Ostreopsis ovata,14.464509,-61.0189476
Ostreopsis ovata,-18.13513,178.42325
Ostreopsis ovata,15.8715496,-61.6268196
Ostreopsis ovata,-8.53,-35
Ostreopsis ovata,14.4508629,-60.8929558
Ostreopsis ovata,14.5983324,-60.8326073
Ostreopsis ovata,0.9194,-29.3424
Ostreopsis ovata,41.551944,2.491944
Ostreopsis ovata,14.5383129,-60.8089828
Ostreopsis ovata,37.092778,-8.675278
Ostreopsis ovata,16.2975502,-61.105732
Ostreopsis ovata,41.12,2.41
Ostreopsis ovata,39.274181,22.820158
Ostreopsis ovata,42.5805016,8.7255011
Ostreopsis ovata,-12.99,-38.4
Ostreopsis ovata,16.0403671,-61.7616158
Ostreopsis ovata,-36.36818705,174.8427476
Ostreopsis ovata,-27.2733,-48.3666
Ostreopsis ovata,44.375,8.941389
Ostreopsis ovata,-0.9536,-81.811
Ostreopsis ovata,-34.88,173.29
Ostreopsis ovata,14.4084291,-60.8940048
Ostreopsis ovata,-8.4219,-34.93
Ostreopsis ovata,41.165833,16.901944
Ostreopsis ovata,34.644973,139.001593
Ostreopsis ovata,16.4333324,-61.0071678
Ostreopsis ovata,14.7571621,-60.8850555
Ostreopsis ovata,-20.4936,-29.3305
Ostreopsis ovata,43.616667,13.534167
Ostreopsis ovata,41.166111,16.902222
Ostreopsis ovata,41.551944,2.491111
Ostreopsis ovata,-22.75,-41.8833
Ostreopsis ovata,-16.4,-39.0333
Ostreopsis ovata,-12.9999,-38.8864
Ostreopsis ovata,14.4440088,-61.040062
Ostreopsis ovata,31.5333,30.1
Ostreopsis ovata,0.7805,-80.0882
Ostreopsis ovata,39.45,-0.32
Ostreopsis ovata,39.44,-0.31
Ostreopsis ovata,43.41,-1.64
Ostreopsis ovata,42.487,3.169
Ostreopsis ovata,-17.4896,-149.8227
Ostreopsis ovata,-17.4849,-149.8337
Ostreopsis ovata,19.48,108.89
Ostreopsis ovata,5.96,102.68
Ostreopsis ovata,18.27,109.73
Ostreopsis ovata,11.86,102.48
Ostreopsis ovata,15.98,-61.72
Ostreopsis ovata,21.02,109.1
Ostreopsis ovata,18.21,109.51
Ostreopsis ovata,14.44401,-61.04006
Ostreopsis ovata,14.68116,-60.8488
Ostreopsis ovata,14.59833,-60.83261
Ostreopsis ovata,14.53831,-60.80898
Ostreopsis ovata,-23.51,-45.13
Ostreopsis ovata,43.69,7.31
Ostreopsis ovata,37.27,9.88
Ostreopsis ovata,21.13,39.07
Ostreopsis ovata,-36.368187,174.842748
Ostreopsis ovata,-74.7509,166.809
Ostreopsis ovata,37.5653,15.1648
Ostreopsis ovata,21.0909,39.1986
Ostreopsis ovata,21.0559,39.2243
Ostreopsis ovata,26.3328,127.9312
Ostreopsis ovata,-2.0465,72.1568
Ostreopsis ovata,9.3725,-79.9485
